category,total_orders,total_revenue,avg_price,avg_delay_days,late_orders,late_rate_pct,avg_review_score
audio,350,50738.4,139.01,-10.1,42.0,11.5,3.8
christmas_supplies,128,8800.82,57.52,-12.1,15.0,9.8,4.0
fashion_underwear_beach,121,9541.55,72.84,-10.9,12.0,9.2,4.0
home_confort,397,58828.74,134.62,-9.9,40.0,9.2,3.8
office_furniture,1273,275224.49,161.8,-11.8,134.0,7.9,3.5
books_technical,260,19149.03,71.19,-11.3,21.0,7.8,4.4
baby,2884,411958.48,134.14,-11.6,229.0,7.5,4.0
electronics,2549,159177.64,57.53,-11.1,207.0,7.5,4.0
health_beauty,8836,1263138.54,129.86,-12.0,721.0,7.4,4.1
construction_tools_lights,244,41308.0,135.44,-11.2,22.0,7.2,4.1
furniture_living_room,422,69427.26,136.94,-11.7,36.0,7.1,3.9
,1451,180277.24,111.83,-11.4,115.0,7.1,3.8
musical_instruments,628,191523.78,281.24,-11.5,48.0,7.0,4.2
watches_gifts,5624,1206075.33,200.98,-11.9,423.0,7.0,4.0
auto,3896,594328.1,139.68,-11.4,292.0,6.9,4.1
bed_bath_table,9417,1050936.61,93.25,-11.7,781.0,6.9,3.9
food,450,29393.41,57.63,-9.9,35.0,6.9,4.2
furniture_decor,6449,736282.47,87.5,-12.4,575.0,6.8,3.9
telephony,4199,323839.4,71.17,-11.4,308.0,6.8,3.9
stationery,2311,231300.21,91.6,-12.0,169.0,6.7,4.2
