cohort_month,cohort_size,month_1,month_2,month_3,month_4,month_5,month_6
201609,4,0,0,0,0,0,0
201610,314,0,0,0,0,0,1
201612,1,1,0,0,0,0,0
201701,754,3,2,1,3,1,3
201702,1707,4,5,2,7,2,4
201703,2604,13,10,10,9,4,4
201704,2343,14,5,4,8,6,8
201705,3566,18,17,14,11,12,15
201706,3115,15,11,12,8,12,12
201707,3848,20,14,9,11,8,12
201708,4152,29,14,11,15,22,12
201709,4093,28,22,12,18,9,9
201710,4416,31,11,4,10,9,10
201711,7224,40,28,13,14,13,8
201712,5447,12,15,19,14,11,9
201801,6984,24,26,20,20,11,12
201802,6425,25,25,19,17,14,13
201803,6950,31,22,20,9,9,0
201804,6709,39,21,16,9,0,0
201805,6608,35,18,14,0,0,0
201806,5937,25,17,0,1,0,0
201807,6054,44,2,0,0,0,0
201808,6265,7,2,0,0,0,0
201809,5,0,0,0,0,0,0
201810,1,0,0,0,0,0,0
