customer_state,total_orders,total_revenue,total_profit,profit_margin_pct
SP,41125,5189711.44,3556150.92,68.5
RJ,12697,1819080.6,1190080.05,65.4
MG,11496,1579718.64,1035095.45,65.5
RS,5415,746506.09,481171.54,64.5
PR,4982,679710.81,443597.04,65.3
SC,3599,520145.05,340833.86,65.5
BA,3344,508941.62,319980.7,62.9
DF,2120,302940.68,199632.98,65.9
GO,1998,290814.0,187294.74,64.4
ES,2018,274119.2,176190.18,64.3
PE,1643,262753.55,158484.69,60.3
CE,1323,226940.95,139929.03,61.7
PA,969,179303.17,110488.89,61.6
MT,902,156601.23,100752.39,64.3
MS,708,118159.72,79032.98,66.9
PB,531,114964.0,71331.84,62.0
MA,736,119487.5,66999.49,56.1
AL,411,80518.77,51229.85,63.6
PI,490,86720.09,51145.1,59.0
RN,482,83088.29,50325.9,60.6
SE,345,58920.85,34496.75,58.5
TO,278,49407.99,29542.02,59.8
RO,246,46031.64,27131.4,58.9
AM,147,22412.74,13152.75,58.7
AC,81,15982.95,9671.91,60.5
AP,68,13474.3,8626.37,64.0
RR,45,7739.44,4107.41,53.1
