month,category,total_revenue,total_profit
2018-09,kitchen_dining_laundry_garden_furniture,145.0,89.54
2018-08,,2419.0399999999995,1438.92
2018-08,agro_industry_and_commerce,5021.09,3724.32
2018-08,air_conditioning,3556.9000000000005,2546.25
2018-08,art,1481.39,896.79
2018-08,arts_and_craftmanship,901.76,571.14
2018-08,audio,2069.400000000001,1287.8
2018-08,auto,45182.460000000065,29501.08
2018-08,baby,21956.250000000036,13173.36
2018-08,bed_bath_table,61035.88000000009,35550.77
2018-08,books_general_interest,1564.7800000000009,674.66
2018-08,books_imported,749.0,598.16
2018-08,books_technical,1483.7900000000002,783.15
2018-08,christmas_supplies,564.37,223.71
2018-08,cine_photo,685.28,412.84
2018-08,computers,8711.5,6834.33
2018-08,computers_accessories,40268.93000000012,25185.8
2018-08,consoles_games,4711.24,2788.21
2018-08,construction_tools_construction,22917.160000000003,16309.79
2018-08,construction_tools_lights,8212.529999999997,5165.09
2018-08,construction_tools_safety,3970.2200000000007,2835.38
2018-08,cool_stuff,16354.579999999984,10816.99
2018-08,costruction_tools_garden,3688.7599999999998,2496.2
2018-08,costruction_tools_tools,1255.77,786.61
2018-08,diapers_and_hygiene,231.89,144.02
2018-08,drinks,1477.2300000000002,687.18
2018-08,dvds_blu_ray,8.9,-4.56
2018-08,electronics,10769.469999999996,6557.22
2018-08,fashio_female_clothing,129.97,60.21
2018-08,fashion_bags_accessories,8177.4299999999885,4616.63
2018-08,fashion_male_clothing,381.69000000000005,235.6
2018-08,fashion_shoes,471.29999999999995,293.83
2018-08,fashion_sport,69.9,43.36
2018-08,fashion_underwear_beach,219.9,151.86
2018-08,fixed_telephony,2724.17,2157.32
2018-08,food,8256.17999999999,5223.83
2018-08,food_drink,1028.6100000000001,488.4
2018-08,furniture_bedroom,2197.0,1235.28
2018-08,furniture_decor,41320.25000000014,23075.23
2018-08,furniture_living_room,5223.339999999999,2854.97
2018-08,garden_tools,16404.699999999986,9714.32
2018-08,health_beauty,120475.70999999996,84608.44
2018-08,home_appliances,6492.59,4035.24
2018-08,home_appliances_2,7532.76,5591.47
2018-08,home_confort,2241.28,1547.34
2018-08,home_construction,7016.160000000001,4550.41
2018-08,housewares,59770.790000000175,35102.59
2018-08,industry_commerce_and_business,2364.69,1633.18
2018-08,kitchen_dining_laundry_garden_furniture,2156.4700000000007,1176.99
2018-08,luggage_accessories,6758.009999999997,4144.7
2018-08,market_place,949.27,623.3
2018-08,music,497.81000000000006,323.27
2018-08,musical_instruments,10519.339999999995,7855.52
2018-08,office_furniture,6758.869999999996,4096.19
2018-08,party_supplies,1285.29,743.93
2018-08,pc_gamer,219.0,168.09
2018-08,perfumery,25017.69000000005,16988.04
2018-08,pet_shop,24608.070000000043,16687.6
2018-08,portateis_cozinha_e_preparadores_de_alimentos,1803.6000000000001,1465.21
2018-08,signaling_and_security,1825.5900000000006,1163.44
2018-08,small_appliances,6257.0599999999995,4546.64
2018-08,small_appliances_home_oven_and_coffee,2996.72,2154.61
2018-08,sports_leisure,51227.09000000018,33473.93
2018-08,stationery,15563.649999999976,9398.9
2018-08,telephony,37541.89000000007,26371.79
2018-08,toys,16923.749999999985,10660.71
2018-08,watches_gifts,72277.06000000004,53668.26
2018-07,,4611.999999999997,2713.77
2018-07,agro_industry_and_commerce,7756.6900000000005,5610.35
2018-07,air_conditioning,2657.86,1750.41
2018-07,art,1843.2,1075.29
2018-07,arts_and_craftmanship,654.57,359.85
2018-07,audio,2062.6400000000003,1356.38
2018-07,auto,43580.690000000126,28979.59
2018-07,baby,22024.010000000046,13090.47
2018-07,bed_bath_table,55242.920000000195,31382.08
2018-07,books_general_interest,4077.4500000000003,2991.25
2018-07,books_imported,402.78,191.82
2018-07,books_technical,2106.81,1197.96
2018-07,christmas_supplies,509.55999999999995,256.31
2018-07,cine_photo,1194.44,882.65
2018-07,computers,11239.0,9097.04
2018-07,computers_accessories,41581.48000000013,25467.69
2018-07,consoles_games,8519.109999999997,6138.36
2018-07,construction_tools_construction,15237.469999999988,10381.72
2018-07,construction_tools_lights,7477.61,4891.93
2018-07,construction_tools_safety,1888.95,1327.81
2018-07,cool_stuff,21451.71000000002,14600.85
2018-07,costruction_tools_garden,1922.6600000000005,975.6
2018-07,costruction_tools_tools,5501.2,4502.81
2018-07,diapers_and_hygiene,121.0,14.59
2018-07,drinks,1335.17,791.92
2018-07,dvds_blu_ray,83.99,49.3
2018-07,electronics,9285.949999999992,4839.31
2018-07,fashion_bags_accessories,6161.869999999994,3755.76
2018-07,fashion_male_clothing,208.7,71.68
2018-07,fashion_shoes,910.0899999999999,585.81
2018-07,fashion_underwear_beach,109.8,50.3
2018-07,fixed_telephony,9319.39,7234.47
2018-07,flowers,47.989999999999995,-3.14
2018-07,food,3378.1700000000005,1599.25
2018-07,food_drink,778.7300000000001,257.45
2018-07,furniture_bedroom,1386.9,703.4
2018-07,furniture_decor,45659.39000000015,25963.47
2018-07,furniture_living_room,6779.629999999996,3522.4
2018-07,furniture_mattress_and_upholstery,129.9,97.38
2018-07,garden_tools,26173.78000000005,16990.83
2018-07,health_beauty,105640.67000000006,70627.28
2018-07,home_appliances,5508.919999999997,3105.12
2018-07,home_appliances_2,12736.319999999998,9728.16
2018-07,home_comfort_2,38.7,-27.68
2018-07,home_confort,2984.38,1902.15
2018-07,home_construction,6900.0,4185.2
2018-07,housewares,63301.76000000012,37666.87
2018-07,industry_commerce_and_business,4697.21,3150.84
2018-07,kitchen_dining_laundry_garden_furniture,3875.9500000000003,2273.95
2018-07,luggage_accessories,5821.719999999998,3447.69
2018-07,market_place,186.78,53.81
2018-07,music,849.3,688.4
2018-07,musical_instruments,7871.929999999998,5199.52
2018-07,office_furniture,13395.269999999986,7584.94
2018-07,party_supplies,57.5,13.74
2018-07,pc_gamer,438.0,356.06
2018-07,perfumery,21271.770000000015,14388.15
2018-07,pet_shop,19859.74000000001,12733.03
2018-07,portateis_cozinha_e_preparadores_de_alimentos,172.03,0.35
2018-07,signaling_and_security,3785.190000000001,767.37
2018-07,small_appliances,8161.349999999997,5899.26
